,class,order,family,species,AaM,log.AaM,longevity,juvSurv,juvMort,adMort,svl,birth.svl,repmode,Terr,AdTerr,na_count,IF
74,Actinopterygii,Clupeiformes,Clupeidae,Alosa alosa,3.5,1.252762968,NA,NA,NA,0.222222222,76,NA,0,0,0,4,0
75,Actinopterygii,Anguilliformes,Congridae,Conger esculentus,NA,NA,NA,NA,NA,NA,160,NA,0,0,0,7,0
76,Actinopterygii,Perciformes,Scombridae,Grammatorcynus bicarinatus,NA,NA,NA,NA,NA,NA,112,NA,0,0,0,7,0
77,Actinopterygii,Perciformes,Scombridae,Grammatorcynus bilineatus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
78,Actinopterygii,Clupeiformes,Clupeidae,Alosa immaculata,NA,NA,12,NA,NA,NA,39,NA,0,0,0,6,0
79,Actinopterygii,Perciformes,Scombridae,Gymnosarda unicolor,NA,NA,5,NA,NA,NA,247.98,NA,0,0,0,6,0
80,Actinopterygii,Perciformes,Scombridae,Katsuwonus pelamis,NA,NA,NA,NA,NA,NA,110,NA,0,0,0,7,0
81,Actinopterygii,Perciformes,Scombridae,Orcynopsis unicolor,NA,NA,NA,NA,NA,NA,130,NA,0,0,0,7,0
82,Actinopterygii,Perciformes,Scombridae,Rastrelliger brachysoma,NA,NA,NA,NA,NA,NA,34.5,NA,0,0,0,7,0
83,Actinopterygii,Perciformes,Scombridae,Rastrelliger faughni,NA,NA,NA,NA,NA,NA,20,NA,0,0,0,7,0
84,Actinopterygii,Perciformes,Scombridae,Rastrelliger kanagurta,NA,NA,NA,NA,NA,NA,42.1,NA,0,0,0,7,0
85,Actinopterygii,Perciformes,Scombridae,Sarda australis,NA,NA,NA,NA,NA,NA,180,NA,0,0,0,7,0
86,Actinopterygii,Perciformes,Scombridae,Sarda chiliensis,NA,NA,NA,NA,NA,NA,102,NA,0,0,0,7,0
87,Actinopterygii,Perciformes,Scombridae,Sarda orientalis,NA,NA,1,NA,NA,NA,102,NA,0,0,0,6,0
88,Actinopterygii,Perciformes,Scombridae,Sarda sarda,NA,NA,NA,NA,NA,NA,91.4,NA,0,0,0,7,0
89,Actinopterygii,Perciformes,Scombridae,Scomber australasicus,8.5,2.140066163,13,NA,NA,0.105263158,44,NA,0,0,0,3,0
90,Actinopterygii,Perciformes,Scombridae,Scomber japonicus,NA,NA,NA,NA,NA,NA,64,NA,0,0,0,7,0
91,Actinopterygii,Perciformes,Scombridae,Scomber scombrus,NA,NA,NA,NA,NA,NA,60,NA,0,0,0,7,0
92,Actinopterygii,Perciformes,Scombridae,Scomberomorus brasiliensis,NA,NA,NA,NA,NA,NA,125,NA,0,0,0,7,0
93,Actinopterygii,Perciformes,Scombridae,Scomberomorus cavalla,NA,NA,NA,NA,NA,NA,184,NA,0,0,0,7,0
94,Actinopterygii,Perciformes,Scombridae,Scomberomorus commerson,NA,NA,NA,NA,NA,NA,240,NA,0,0,0,7,0
95,Actinopterygii,Perciformes,Scombridae,Scomberomorus concolor,NA,NA,NA,NA,NA,NA,77,NA,0,0,0,7,0
96,Actinopterygii,Perciformes,Scombridae,Scomberomorus guttatus,NA,NA,NA,NA,NA,NA,76,NA,0,0,0,7,0
97,Actinopterygii,Perciformes,Scombridae,Scomberomorus koreanus,2.5,0.916290732,NA,NA,NA,0.285714286,150,NA,0,0,0,4,0
98,Actinopterygii,Perciformes,Scombridae,Scomberomorus lineolatus,15.5,2.740840024,NA,NA,NA,0.060606061,96,NA,0,0,0,4,0
99,Actinopterygii,Perciformes,Scombridae,Scomberomorus maculatus,NA,NA,NA,NA,NA,NA,91,NA,0,0,0,7,0
100,Actinopterygii,Perciformes,Apogonidae,Apogonichthyoides taeniatus,NA,NA,NA,NA,NA,NA,17,NA,0,0,0,7,0
101,Actinopterygii,Perciformes,Scombridae,Scomberomorus multiradiatus,NA,NA,NA,NA,NA,NA,35,NA,0,0,0,7,0
102,Actinopterygii,Perciformes,Scombridae,Scomberomorus munroi,NA,NA,NA,NA,NA,NA,104,NA,0,0,0,7,0
103,Actinopterygii,Stomiiformes,Sternoptychidae,Argyropelecus aculeatus,NA,NA,NA,NA,NA,NA,8.3,NA,0,0,0,7,0
104,Actinopterygii,Perciformes,Scombridae,Scomberomorus niphonius,NA,NA,NA,NA,NA,NA,113.2,NA,0,0,0,7,0
105,Actinopterygii,Perciformes,Scombridae,Scomberomorus plurilineatus,NA,NA,NA,NA,NA,NA,120,NA,0,0,0,7,0
106,Actinopterygii,Perciformes,Scombridae,Scomberomorus queenslandicus,NA,NA,NA,NA,NA,NA,100,NA,0,0,0,7,0
107,Actinopterygii,Perciformes,Scombridae,Scomberomorus regalis,NA,NA,NA,NA,NA,NA,183,NA,0,0,0,7,0
108,Actinopterygii,Perciformes,Scombridae,Scomberomorus semifasciatus,NA,NA,NA,NA,NA,NA,120,NA,0,0,0,7,0
