 ,Order,SubOrder,Binomial,Genus,epithet,valid (reptile database; February 2018),main biogeographic Realm,Latitude centroid (from Roll et al. 2017),Longitude centroid (from Roll et al. 2017),insular endemic,maximum SVL,female SVL,hatchling/neonate SVL,reproductive mode,clutch size,smallest clutch,largest clutch,smallest mean clutch size,largest mean clutch size,breeding age (months),youngest age at first breeding (months),oldest age at first breeding (months),Family,IUCN redlist assessment,Longevity,"ref for longevity (if animladiversity.org, just put 1, 2 for https://www.demogr.mpg.de/longevityrecords/)"
Reptilia,Squamata,Lacertilla,Lerista hobsoni,Lerista,hobsoni,yes,Australia,-20.04,145.3,no,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista humphriesi,Lerista,humphriesi,yes,Australia,-27.14,114.25,no,65,58,36,Oviparous,"2 (e.g., Wells 2012)",2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista ingrami,Lerista,ingrami,yes,Australia,-15.09,145.23,no,36,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista ips,Lerista,ips,yes,Australia,-22.9,126.32,no,72,65,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista jacksoni,Lerista,jacksoni,yes,Australia,-21.4,118.24,no,46,34.4,17,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista kalumburu,Lerista,kalumburu,yes,Australia,-14.46,126.43,no,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista karlschmidti,Lerista,karlschmidti,yes,Australia,-16.37,139.53,no,70.9,63.6,NA,Oviparous,"""1-3 eggs (usually 2)"", (Wells 2012)",1,3,1.6,1.6,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista kendricki,Lerista,kendricki,yes,Australia,-26.7,113.91,no,67,NA,28,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista kennedyensis,Lerista,kennedyensis,yes,Australia,-24.37,115.04,no,58,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista kingi,Lerista,kingi,yes,Australia,-28,121.99,no,46,39.3,18,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista labialis,Lerista,labialis,yes,Australia,-27.12,132.16,no,60,52.9,23.5,Oviparous,2 (Brown 2012),2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista lineata,Lerista,lineata,yes,Australia,-27.94,114.58,no,62,47.4,NA,Oviparous,up to 2-3 (Wells 2012),2,3,3,3,NA,NA,NA,Scincidae,EN,,
Reptilia,Squamata,Lacertilla,Lerista lineopunctulata,Lerista,lineopunctulata,yes,Australia,-30.69,115.61,no,113.6,84.6,36,Oviparous,3-5 (Brown 2012),3,5,3.9,3.9,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista macropisthopus,Lerista,macropisthopus,yes,Australia,-27.36,118.3,no,100,have mass but no SVL data,36.5,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista maculosa,Lerista,maculosa,yes,Australia,-26.86,114.77,no,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista micra,Lerista,micra,yes,Australia,-25.91,114.49,no,46,33.9,17,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista microtis,Lerista,microtis,yes,Australia,-33.85,119.03,no,61,50.8,20,Viviparous,"2-4 (intermedia, Wells 2012, up to 4, average 2 - microtis, Wells 2012)",2,4,2,2.6,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista miopus,Lerista,miopus,yes,Australia,-28.61,114.79,no,106,80,NA,NA,"4 (Amey and Edwards 2017, n=1)",4,4,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista muelleri,Lerista,muelleri,yes,Australia,-26.91,132.57,no,50,41.5,20,Oviparous,"2 (Michael and Lindenmayer 2010), 1-2, usually 2 (Wells 2012)",1,2,1.9,1.9,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista neander,Lerista,neander,yes,Australia,-24.09,119.13,no,91.2,NA,36,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista nevinae,Lerista,nevinae,yes,Australia,-20.96,117.05,no,41,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,CR,,
Reptilia,Squamata,Lacertilla,Lerista nichollsi,Lerista,nichollsi,yes,Australia,-28.23,117.91,no,68,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista occulta,Lerista,occulta,yes,Australia,-25.9,114.7,no,39,34,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista onsloviana,Lerista,onsloviana,yes,Australia,-22.46,114.93,no,70.8,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista orientalis,Lerista,orientalis,yes,Australia,-16.9,135.71,no,49,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista petersoni,Lerista,petersoni,yes,Australia,-23.74,115.18,no,71,NA,NA,Oviparous,6 (Myhrvold et al. 2015),6,6,6,6,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista picturata,Lerista,picturata,yes,Australia,-31.69,122.2,no,92.4,81.5,NA,Oviparous,"2-4, usually 3 (Wells 2012)",2,4,3,3,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista planiventralis,Lerista,planiventralis,yes,Australia,-26.88,114.55,no,72,55,28,Oviparous,"2-4, average 3 (Wells 2012)",2,4,3,3,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista praefrontalis,Lerista,praefrontalis,yes,Australia,-16.08,123.4,yes,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Lerista praepedita,Lerista,praepedita,yes,Australia,-27.24,114.55,no,66,have mass but no SVL data,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista punctatovittata,Lerista,punctatovittata,yes,Australia,-30.08,145.15,no,105,95.3,39,Oviparous,"2-4 (Michael and Lindenmayer 2010, Wells 2012), 2-5 (Brown 2012)",1,5,1,3.3,"24 (Clobert et al. 1998), 21 (Henle 1991)",24,24,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista puncticauda,Lerista,puncticauda,yes,Australia,-30.76,124.57,no,86,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,EN,,
Reptilia,Squamata,Lacertilla,Lerista quadrivincula,Lerista,quadrivincula,yes,Australia,-21.02,116.8,no,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Lerista robusta,Lerista,robusta,yes,Australia,-18.93,125.07,no,64,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Lerista rochfordensis,Lerista,rochfordensis,yes,Australia,-20.46,146.72,no,82,NA,40,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista rolfei,Lerista,rolfei,yes,Australia,-23.89,116.26,no,48,37.9,16,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista separanda,Lerista,separanda,yes,Australia,-17.92,122.91,no,32,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista simillima,Lerista,simillima,yes,Australia,-18.12,125.41,no,55,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista speciosa,Lerista,speciosa,yes,Australia,-26.49,131.07,no,51,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista stictopleura,Lerista,stictopleura,yes,Australia,-24.31,116.84,no,58,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista storri,Lerista,storri,yes,Australia,-17.6,144.21,no,73,NA,NA,Oviparous,2 (Wells 2012),2,2,2,2,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista stylis,Lerista,stylis,yes,Australia,-14.05,135.07,no,75.9,70,NA,Oviparous,NA,2,3,2.2,2.2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista taeniata,Lerista,taeniata,yes,Australia,-24.29,131.73,no,45.8,NA,21,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista talpina,Lerista,talpina,yes,Australia,-22.68,114.02,no,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista terdigitata,Lerista,terdigitata,yes,Australia,-30.48,132.36,no,70,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista timida,Lerista,timida,yes,Australia,-27.71,121.39,no,53,NA,20,Oviparous,2 (Wells 2012),2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista tridactyla,Lerista,tridactyla,yes,Australia,-31.87,122.98,no,61.3,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista uniduo,Lerista,uniduo,yes,Australia,-24.6,114.64,no,61,53.3,29,Oviparous,NA,2,3,2.3,2.3,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista vanderduysi,Lerista,vanderduysi,yes,Australia,-19.3,143.94,no,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista varia,Lerista,varia,yes,Australia,-23.92,116.58,no,85,NA,31,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista verhmens,Lerista,verhmens,yes,Australia,-21.34,118.41,no,50,46.2,25,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista vermicularis,Lerista,vermicularis,yes,Australia,-20.53,123.71,no,42,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista viduata,Lerista,viduata,yes,Australia,-33.55,119.1,no,45,NA,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,DD,,
Reptilia,Squamata,Lacertilla,Lerista vittata,Lerista,vittata,yes,Australia,-20.41,146.91,no,76,67.3,38,Viviparous,NA,2,3,2.6,2.6,NA,NA,NA,Scincidae,EN,,
Reptilia,Squamata,Lacertilla,Lerista walkeri,Lerista,walkeri,yes,Australia,-15.32,125.32,no,68.9,62,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista wilkinsi,Lerista,wilkinsi,yes,Australia,-20.56,144.89,no,75,66.4,NA,Oviparous,NA,1,3,1.9,2,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lerista xanthura,Lerista,xanthura,yes,Australia,-26.71,136.18,no,58,49.7,have mass but no SVL data,Oviparous,"1-2, mean 1.67 (Henle 1989)",1,2,1,1.7,"12 (Clobert et al. 1998), 9 (Henle 1991)",9,12,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista yuna,Lerista,yuna,yes,Australia,-28.53,115.24,no,66,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NT,,
Reptilia,Squamata,Lacertilla,Lerista zietzi,Lerista,zietzi,yes,Australia,-23.07,118.39,no,54,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Lerista zonulata,Lerista,zonulata,yes,Australia,-18.14,144.39,no,50.5,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Lialis burtonis,Lialis,burtonis,yes,Australia,-25.05,134.33,no,300,199.3,70.5,Oviparous,"1-2, mean (Wall and Shine 2013), 2 (Porter 2008), mean 2 (e.g., Mesquita et al. 2016)",1,3,1.7,2,NA,NA,NA,Pygopodidae,LC,,
Reptilia,Squamata,Lacertilla,Lialis jicari,Lialis,jicari,yes,Oceania,-6.5,143.33,yes,314,267.5,NA,Oviparous,NA,2,2,NA,NA,NA,NA,NA,Pygopodidae,LC,,
Reptilia,Squamata,Lacertilla,Liburnascincus artemis,Liburnascincus,artemis,yes,Australia,-14.8,143.48,no,57.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Liburnascincus coensis,Liburnascincus,coensis,yes,Australia,-13.37,143.22,no,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Liburnascincus mundivensis,Liburnascincus,mundivensis,yes,Australia,-22.53,148.97,no,60,56,have mass but no SVL data,Oviparous,NA,2,2,2,2,NA,NA,NA,Scincidae,NE,,
Reptilia,Squamata,Lacertilla,Liburnascincus scirtetis,Liburnascincus,scirtetis,yes,Australia,-15.66,145.23,no,70,66.3,have mass but no SVL data,Oviparous,NA,2,2,2,2,NA,NA,NA,Scincidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus abaucan,Liolaemus,abaucan,yes,Neotropic,-27.45,-67.69,no,65,55.7,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus abdalai,Liolaemus,abdalai,yes,Neotropic,-38.57,-70.03,no,50.2,45.8,NA,NA,1.85 (Myhrvold et al. 2015),1,2,1.9,1.9,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus absconditus,Liolaemus,absconditus,yes,Neotropic,-37.91,-57.87,no,58.3,NA,NA,NA,2-4 (Vega et al. 2018),2,4,NA,NA,NA,NA,NA,Liolaemidae,NE,,
Reptilia,Squamata,Lacertilla,Liolaemus acostai,Liolaemus,acostai,yes,Neotropic,-31.93,-69.07,no,76.7,58.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus albiceps,Liolaemus,albiceps,yes,Neotropic,-24.38,-66.06,no,94,74.9,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus alticolor,Liolaemus,alticolor,yes,Neotropic,-18.2,-68.39,no,55.2,47.8,NA,Viviparous,"2-5 eggs (Pincheira-Donoso, pers. Comm. 8.6.2011)",2,5,2.6,3.5,NA,NA,NA,Liolaemidae,NE,,
Reptilia,Squamata,Lacertilla,Liolaemus andinus,Liolaemus,andinus,yes,Neotropic,-24.86,-67.79,no,91,85.6,28,Viviparous,NA,5,6,5.8,5.8,NA,16,16,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus annectens,Liolaemus,annectens,yes,Neotropic,-15.37,-71.44,no,86,NA,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus anomalus,Liolaemus,anomalus,yes,Neotropic,-31.6,-67.71,no,95,62.8,NA,Oviparous,NA,7,8,7.5,7.5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus antumalguen,Liolaemus,antumalguen,yes,Neotropic,-36.63,-70.37,no,107.8,95.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus aparicioi,Liolaemus,aparicioi,yes,Neotropic,-16.61,-68.28,no,58.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,CR,,
Reptilia,Squamata,Lacertilla,Liolaemus arambarensis,Liolaemus,arambarensis,yes,Neotropic,-30.68,-51.41,no,60,49.7,NA,Oviparous,NA,2,2,2,2,NA,NA,NA,Liolaemidae,EN,,
Reptilia,Squamata,Lacertilla,Liolaemus araucaniensis,Liolaemus,araucaniensis,yes,Neotropic,-38.19,-71.55,no,60.9,NA,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus archeforus,Liolaemus,archeforus,yes,Neotropic,-46.94,-71.87,no,92,80.2,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus atacamensis,Liolaemus,atacamensis,yes,Neotropic,-26.78,-70.32,no,77,61.8,NA,Oviparous,NA,5,5,5,5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus audituvelatus,Liolaemus,audituvelatus,yes,Neotropic,-23.06,-68.33,no,60,50.3,NA,Viviparous,NA,2,2,2,2,NA,NA,NA,Liolaemidae,VU,,
Reptilia,Squamata,Lacertilla,Liolaemus austromendocinus,Liolaemus,austromendocinus,yes,Neotropic,-36.25,-69.03,no,104,88.4,NA,Viviparous,NA,4,5,4.3,4.3,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus avilai,Liolaemus,avilai,yes,Neotropic,-47.03,-71.06,no,61.3,56.7,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus azarai,Liolaemus,azarai,yes,Neotropic,-27.86,-57.78,no,54.3,41,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,CR,,
Reptilia,Squamata,Lacertilla,Liolaemus baguali,Liolaemus,baguali,yes,Neotropic,-49.15,-71.58,no,101,78.4,NA,Viviparous,NA,3,4,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus bellii,Liolaemus,bellii,yes,Neotropic,-33.41,-70.35,no,94,63.6,NA,Viviparous,"2 (Ibarguengoytia 2008) to 9 (Pincheira-Donoso, pers. Comm. 8.6.2011)",2,9,2,6.4,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus bibronii,Liolaemus,bibronii,yes,Neotropic,-42.54,-68.8,no,70,53.3,27,Oviparous,"to 5 (Pincheira-Donoso, pers. Comm. 8.6.2011)",1,5,2.5,3,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus bitaeniatus,Liolaemus,bitaeniatus,yes,Neotropic,-26.49,-65.76,no,62,61.3,NA,Oviparous,"7.63 vitolegenic follicles, 5.33 eggs (Ramirez-Pinilla 1995), mean 6.48 (Mesquita et al. 2016)",4,7,5.3,6.5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus boulengeri,Liolaemus,boulengeri,yes,Neotropic,-42.88,-68.47,no,78,60.3,24.9,Oviparous,"2-6 (Pincheira-Donoso, pers. Comm. 8.6.2011)",2,6,3.6,4.6,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus buergeri,Liolaemus,buergeri,yes,Neotropic,-35.93,-69.93,no,111,83.6,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus burmeisteri,Liolaemus,burmeisteri,yes,Neotropic,-37.23,-70.37,no,85.2,70.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,DD,,
Reptilia,Squamata,Lacertilla,Liolaemus calchaqui,Liolaemus,calchaqui,yes,Neotropic,-26.52,-65.72,no,60,57,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus calliston,Liolaemus,calliston,yes,Neotropic,-38.43,-69.16,no,61,57.4,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,NE,,
Reptilia,Squamata,Lacertilla,Liolaemus canqueli,Liolaemus,canqueli,yes,Neotropic,-44.35,-68.57,no,100,81.7,NA,Oviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus caparensis,Liolaemus,caparensis,yes,Neotropic,-49.57,-72.05,no,59,49.8,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus capillitas,Liolaemus,capillitas,yes,Neotropic,-27.67,-67.16,no,93,83,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus carlosgarini,Liolaemus,carlosgarini,yes,Neotropic,-35.83,-70.75,no,75.3,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,NE,,
Reptilia,Squamata,Lacertilla,Liolaemus casamiquelai,Liolaemus,casamiquelai,yes,Neotropic,-40.94,-68.91,no,106.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus cazianiae,Liolaemus,cazianiae,yes,Neotropic,-24.73,-67.75,no,76.3,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chacabucoense,Liolaemus,chacabucoense,yes,Neotropic,-47.17,-71.83,no,63,56,27.2,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chacoensis,Liolaemus,chacoensis,yes,Neotropic,-27.66,-64.12,no,55,44.2,17,Oviparous,mean 6.07 (Mesquita et al. 2016),6,7,6.1,6.1,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chaltin,Liolaemus,chaltin,yes,Neotropic,-22.38,-65.67,no,58.7,NA,NA,Oviparous,"4-5 eggs, Pincheira-Donoso, pers. Comm. 8.6.2011",4,5,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chavin,Liolaemus,chavin,yes,Neotropic,-9.93,-77.11,no,66.5,NA,NA,Viviparous,4 (inferred from Aguilar et al. 2013),4,4,4,4,NA,NA,NA,Liolaemidae,NT,,
Reptilia,Squamata,Lacertilla,Liolaemus chehuachekenk,Liolaemus,chehuachekenk,yes,Neotropic,-42.46,-69.11,no,103.6,90.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chiliensis,Liolaemus,chiliensis,yes,Neotropic,-36.72,-71.64,no,106,87.1,NA,Oviparous,"to 24 eggs (Pincheira-Donoso, pers. Comm. 8.6.2011), 10-14 (Demangel 2016), ""In our sample group, we had fifteen females that laid a mean of 14.3 ± 4.5 eggs (SD; range = 5-22, median and mode = 13) (Troncoso-Palacios and Labra 2017)""",5,24,14.3,14.5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chillanensis,Liolaemus,chillanensis,yes,Neotropic,-37.77,-71.21,no,89,75,NA,Oviparous,NA,3,3,3,3,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chlorostictus,Liolaemus,chlorostictus,yes,Neotropic,-22.35,-66.61,no,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus chungara,Liolaemus,chungara,yes,Neotropic,-18,-69.4,no,55.6,49.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus cinereus,Liolaemus,cinereus,yes,Neotropic,-29.53,-69.21,no,63,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,DD,,
Reptilia,Squamata,Lacertilla,Liolaemus coeruleus,Liolaemus,coeruleus,yes,Neotropic,-38.41,-71,no,70,61,NA,Oviparous,NA,4,5,4.5,4.5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus confusus,Liolaemus,confusus,yes,Neotropic,-34.78,-71.57,no,65.1,47.7,NA,NA,NA,2,4,NA,NA,NA,NA,NA,Liolaemidae,DD,,
Reptilia,Squamata,Lacertilla,Liolaemus constanzae,Liolaemus,constanzae,yes,Neotropic,-23.56,-67.95,no,76.7,56.8,NA,Oviparous,"2 eggs minimum (Pincheira-Donoso, pers. Comm. 8.6.2011)",2,4,3.6,3.6,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus crandalli,Liolaemus,crandalli,yes,Neotropic,-37.72,-68.89,no,93.4,79.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,NE,,
Reptilia,Squamata,Lacertilla,Liolaemus cranwelli,Liolaemus,cranwelli,yes,Neotropic,-17.32,-63.55,no,57.5,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,CR,,
Reptilia,Squamata,Lacertilla,Liolaemus crepuscularis,Liolaemus,crepuscularis,yes,Neotropic,-27.25,-66.39,no,64.1,56.2,NA,unclear,"3-6, mean 4.5 (e.g., Mesquita et al. 2016)",3,6,4.5,4.5,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus cristiani,Liolaemus,cristiani,yes,Neotropic,-36.17,-71.1,no,78.2,71.2,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus curicensis,Liolaemus,curicensis,yes,Neotropic,-34.64,-70.5,no,69,51,NA,Viviparous,NA,NA,NA,NA,NA,NA,NA,NA,Liolaemidae,LC,,
Reptilia,Squamata,Lacertilla,Liolaemus curis,Liolaemus,curis,yes,Neotropic,-34.91,-70.43,no,103.4,86.4,NA,Viviparous,"5 (e.g., Troncoso-Palacios et al. 2011)",5,6,5.5,5.5,NA,NA,NA,Liolaemidae,CR,,
