,order,class,family,species,AaM,log.AaM,adMort,svl,repmode,juvTerr,birth.svl,longevity,juvSurv,juvMort,AdTerr,mass,birth.mass,RCM,IPB,reloff
5357,Anura,Amphibia,Rhacophoridae,Raorchestes munnarensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5358,Anura,Amphibia,Rhacophoridae,Raorchestes nerostagona,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5359,Anura,Amphibia,Rhacophoridae,Raorchestes ochlandrae,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5360,Anura,Amphibia,Rhacophoridae,Raorchestes parvulus,NA,NA,NA,23.6,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5361,Anura,Amphibia,Rhacophoridae,Raorchestes ponmudi,NA,NA,NA,38.9,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5362,Anura,Amphibia,Rhacophoridae,Raorchestes resplendens,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5363,Anura,Amphibia,Rhacophoridae,Raorchestes sahai,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5364,Anura,Amphibia,Rhacophoridae,Raorchestes shillongensis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5365,Anura,Amphibia,Rhacophoridae,Raorchestes signatus,NA,NA,NA,31.1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5366,Anura,Amphibia,Rhacophoridae,Raorchestes sushili,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5367,Anura,Amphibia,Rhacophoridae,Raorchestes terebrans,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5368,Anura,Amphibia,Rhacophoridae,Raorchestes tinniens,NA,NA,NA,33.1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5369,Anura,Amphibia,Rhacophoridae,Raorchestes travancoricus,NA,NA,NA,NA,0,0,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
